S:NO,Comment
1500,Mouth watering 😋
1501,This is my favourite chicken curry recipe! Everyone at my home loves it! ❤
1502,Great👍
1503,Looking delicious👌👌👌
1504,I tried this recipe today...it came out so good ❤️
1505,"Everytime I made this , all my family and friends appreciate me soo much ❤️❤️💐💐Thank you so much."
1506,"I tried this recipe, it&#39;s was really super"
1507,M from  pakistani  gilgit  baltistani ❤
1508,Very nice healthy recipe thanks
1509,Curd is very important ingredient in this recipe.. Doesn&#39;t matter if u forget chicken 😂 but dont forget curd. 😂
1510,Pls stop killing animals and birds for meat or leather pls 😭😭😭😭😭😭😭😭😭😭
1511,What should I do for 1 kg chicken.. I am new to this and confused
1512,looks delicious
1513,❤ from Durkhxnai vlogs
1514,I tried this recipe &amp; it was AWESOME 💯
1515,Can i skip cashews?
1516,Fall in love with your cooking style and amazing recipes ❤❤😊 ... All people impressed your time sence...i always tried your all recipe it&#39;s come out delicious 😋😋
1517,It came out amazing
1518,"Such a superbbbb cooking video mahnnn...hatsoff fr not asking fr subscription,like, comment anything..... simple and understandable ❤️❤️❤️❤️❤️🥰"
1519,❤️❤️
1520,Very tasty n easy ❤
1521,Idly nala erukuma ah
1522,Very very good
1523,Chilli powder 2 tsp<br>Coriander  3 tsp <br>Cumin half tsp
1524,I tried it yesterday nd it tastes so delicious.... everybody in my house loved it ....
1525,My question is instead of adding cashew nuts can you substitute almond nuts? If any one can tell me. Thanks
1526,Simple and quick recipe loved it
1527,J
1528,I have tried this ❤ so yummy
1529,Fun fact: this video is just 3 mins long but still I watched this with 2x speed 😅
1530,Darun
1531,Love this
1532,It had come out so well purrfect thanks a lot for the recipe.
1533,Easiest and yummiest chicken recipe you can find on you tube is only this one..thank you!
1534,Tried this recipe it&#39;s very tasty  n simple also I was  shock about the taste tqsm for the recipe
1535,It was so amazing
1536,"Awesome! I can&#39;t believe how incredibly simple yet supremely tasty this chicken recipe is. I tried it today and it came out very, very tasty.<br><br>I love all your recipes. Authentic and tasty. You also make cooking seem very simple. 😊"
1537,Dahi sweet or sour ?
1538,Thank you so much for such easy and delicious recipe  . My all time fav chicken masala curry  &lt;3   You can also say this as chicken korma  &lt;3 yum
1539,Tried this recipe today came out really good. Could have been a bit spicy
1540,Mouth watering recipe 😋😋😋
1541,Thank you for the recipe. it was so delicious
1542,"<a href=""https://youtu.be/Kab2qU-qI78"">https://youtu.be/Kab2qU-qI78</a>"
1543,It was amazing recipe. I tried. It was perfect. Thank you.
1544,Looking so yummy...<br>Is this can be done with &#39;naatu kozhi&#39;?
1545,No un wanted talks very nice
1546,Thankyou ❤
1547,Really testy chicken curry ❤main try Kiya with rice👍
1548,This Recipe so so so super❤❤❤❤❤😊😊😊😊😊😊😊 thank u sis
1549,Mouth watering mam
1550,Athu leaves illanga leaf&#39;s
1551,Waw its so yum 😋 thank you so much for the recipe.<br><br>I added pinch of chicken masala powder as well like one of person in the comment section mentioned.
1552,Gravy came out sweet. Where did  I go wrong?
1553,I made it but it burned
1554,"Tasted really good, tried it today."
1555,Ur the best youtuber easy method cooking without any talks
1556,I tried it with chicken liver and after that everyone requested for once more
1557,Lovely best thing is quick and clear
1558,Mam vera level...mouthwatering 🤤
1559,I like video
1560,"I tried this recipe for yesterday&#39;s dinner, and it came out very well😋thanxx"
1561,Super madam 👌👌👌👌
1562,Very nice
1563,This is one of the best curries i have made. Thank you !
1564,𝓕𝓲𝓷𝓪𝓵𝓵𝔂 𝓰𝓸𝓽 𝓷𝓲𝓬𝓮 𝓻𝓮𝓬𝓲𝓹𝓮 👏🏻
1565,😋 this recipe looks so yummy!!!! I definitely wants to try it !
1566,Woww recipe<br> will try
1567,thanks to YouTube for recommending me this channel. no bakwas only kaam ki baat.<br>been searching for this kind of channel where to learn a recipe i don&#39;t have to listen to their unnecessary talks for 15-20 minutes. finally found it. ❤️❤️Love your work.
1568,Is curd a must add or can we skip? Or is there any substitute?
1569,Your this recipe was just Kamal 2 k bajaye 4 roti khaa ki mny ufff Kamal jb k mny cashews nhi Daly😋❣️
1570,"Since we saw this, we have never made chicken in any other way. Such delicious recipe."
1571,Bachelors food 😘😊😊
1572,Superb
1573,This recipe is truly a 💎! <br>Loved it! <br>I always make this curry.. and each time it is 💯💯
1574,"Tried it, delicious 😋🤤"
1575,"Looks like a rich gravy and very tasty.  That addition of cashew and coriander, was very satisfying to see.  I must try this.  I created a chicken curry from Sanjeev Kapoor Khazana channel and it was way too thick and over spiced. This is much better, more natural, simpler, but with a complex taste.  Love it.<br><br>Thank you for no music, no voice, no distractions, no asking for subscriptions, nothing except cooking and straight to the point with no long intro either. This is how every cooking channel should be.  You are doing an excellent job on all fronts, keep up the good work and many thanks for the recipes!  I love this channel!!!!  🤩🤩🤩❤❤❤"
1576,Amazing recipe
1577,M trying it today
1578,Tried today and it was good...✌
1579,Very very....... yummy 😋
1580,Simple and amazing recipe. It was my first time and everyone loved it. Thank you so much.
1581,Im going to try today😇😇💫
1582,i made really awesome taste super super ❤️❤️
1583,I made this curry more than 15 times all I can say this is the best
1584,He cooked well and eat.<br>We all are Flow our saliva 😂
1585,"This is so simple to make, thanks a ton!!!"
1586,Ok i am gonna try this day after tomorrow...i wonder if it ll turn up good...my first time cooking chicken 😖😖
1587,"Don&#39;t watch... <a href=""https://youtu.be/s5rDfvAsLIs"">https://youtu.be/s5rDfvAsLIs</a>"
1588,solid tasty
1589,.
1590,Thank You Sir/Ma&#39;am ☺️<br>Explained in very simple and subtle way 🌺
1591,Can we skip curd?
1592,I love this recipe.i will definitely try this.👍👍
1593,Am gonna add some cream in it
1594,If we don&#39;t add khada garam masala does the taste of chicken dish will come?
1595,I will try today
1596,What can l use in place of curd?
1597,This is soooo good!
1598,Very simple n yummy recipe 👍...thanks
1599,Awesome Taste... Love it... Today I cooked this... All the ingredients are available... Whatever u put on ... My family loves it... N also it was my first time to cook Chicken dish...
1600,Thank you soo much for this recipe..it really tastes awesome...
1601,Today&#39;s i  tried it and it is really so good for looking and also testy 😍 amazing keep it up
1602,I am a poor cook. but I tried this recipe today and it came out really good. Everyone here liked it. One question though. When I ground tomato and coriander leaves the paste I got was not yellow like that showed in the you-tube. There must be one more ingredient in addition to tomato and coriander leaves. If anyone knows please share it.  Thank you!
1603,thank you so much andi nenu try chesinaanu super gaa vachindhi TQ u so much
1604,"Better chicken recpie<a href=""https://youtu.be/lvGuS8eOGr4"">https://youtu.be/lvGuS8eOGr4</a>"
1605,Please mention the timings of cooking and the temperature measurements.
1606,"Restaurant Style Chicken Mandi Recipe<br><br><a href=""https://youtu.be/u-u4Q2pBvjU"">https://youtu.be/u-u4Q2pBvjU</a>"
1607,"Saw the video, cooked the dish and came back to subscribe &amp; leave this message - Simple &amp; Awesome Recipe !"
1608,"<a href=""https://youtu.be/82RhiN6051E"">https://youtu.be/82RhiN6051E</a>"
1609,Tried this recipe it was osme my husbend loved it
1610,Wt kind of chicken masla v need to use
1611,"Very easy and tasty recipe , with very few ingredients <br>Great 🙏"
1612,"<a href=""https://youtu.be/2Vsg5_3Ue98"">https://youtu.be/2Vsg5_3Ue98</a><br>Learn how to cook chicken korma"
1613,"This video is of 3 mins, and I&#39;m watching it 2× speed😂"
1614,It&#39;s awesome 👍
1615,"<a href=""https://youtu.be/bGMvoK58z14"">https://youtu.be/bGMvoK58z14</a>"
1616,Did marination require freeze ?
1617,Dish nalla irundhadhu
1618,"Chicken Loaded Fries with Cheese Sauce<br><br><a href=""https://youtu.be/QoUfUdCHZEk"">https://youtu.be/QoUfUdCHZEk</a>"
1619,I TRY TOMARRO
1620,Ye video sahi hai isme koi sound ka shor sharaba nhi h
1621,Dedicated to mr.abdul whajid ansari (tiger whajid)🎂
1622,I made this today.. It&#39;s really good.. And My Husband liked it so much.. Thank you!!
1623,Sooper
1624,"Superb ... <a href=""http://www.youtube.com/results?search_query=%23saurabhanupamsahu"">#SaurabhAnupamSahu</a>"
1625,"No asking for subscriptions, no bell icons, no unnecessary talks, straight simple and easy recipes. Cook with Lubna and Dindigul Food Court1❤"
1626,"How can make this calm and quite natural sound😀:<br>Me at cooking: craa.. Craa...craa...,Ko ko ko kooo...,mammaaa👶maaa... 😭🙇‍♀️"
1627,add chicken masala too
1628,Delicious
1629,Veryyyyy good recipes
1630,"Wow, mouth watering."
1631,I try this so tasty chicken kassa
1632,So yummy
1633,Sonna alavu correct ah poten. Awesome taste. Everybody full ah saptanga
1634,I don&#39;t have kaju. What to do? 😥
1635,Very delicious super shaktimam
1636,"This is so... delicious, item yummy😋 ... the way of preparation is awesome nice 👏👏i liked so much... your video is nice...thanks for sharing with us☺️dear🤝"
1637,"I tried this now my father appreciated me thanks , 🤗"
1638,for 1 kg chicken how much ingredients we need to put
1639,Thanks again
1640,This recipe is very very super🤔💓💟
1641,Cumin powder nhi hai …kya karu?
1642,I tried this recipe came out well but I put chilli powder for marinating the chicken and freezed it for some time.
1643,very simple to cook thanks for the recipe..........
1644,"<a href=""https://youtube.com/channel/UCnHOsKxQhkSIVghZvbw3Emw"">https://youtube.com/channel/UCnHOsKxQhkSIVghZvbw3Emw</a> 👌<br>Plz do watch and subscribe my channel guys 🙏 I need your help.."
1645,Nenga sonna maathiriye senjen❣️<br>vera 11😋😋😋<br>enakkulam suttu potta kuda samiyal varathu😁<br>first time super ahh samichi erukken✌️<br>of kg chiken na mattumey sapden🥳🥳🥳🥳🥳🥳🥳<br>apm amma appa sapdu pathuttu two days apm eduthu senjikalam entha maathiriye super ahh erukkuni sonnanga❤️❤️na rompa happya erukken today💙💙💙💙💙tqs lot🧡
1646,I like it👍👍
1647,Colourful  recipe😋
1648,"KHALERI BURGER ALL WITH CHICKEN <br><a href=""https://youtu.be/k93OW21EfFM"">https://youtu.be/k93OW21EfFM</a>"
1649,Avoid curd curd is unnecessary ...
1650,Delicious recipe! 🤤
1651,best and easy recipe  loved it ❤
1652,Superb recipe 💯💯
1653,Wow 😍 super recipe
1654,This is hasome.. super preparation. Support our channel
1655,Hi I tried this recipe it was so yummy 😋😋
1656,Thank you ❤️😊
1657,this is the best recipe ever. It took me only 30 mins to make. All the ingredients are at home abd turned out tasty
1658,What if I wanna increase the gravy quantity? Plz reply
1659,Delicious.. tried it and came out wonderful. Thanks for the simple yet delicious recipe
1660,Special chicken masala recipe<br><br><br><br>https://youtu.be/z2a2R_N0pNA
1661,Special chicken masala recipe<br><br><br><br>https://youtu.be/z2a2R_N0pNA
1662,Special chicken masala recipe<br>https://youtu.be/z2a2R_N0pNA
1663,Special chicken masala recipe<br><br><br><br>https://youtu.be/z2a2R_N0pNA
1664,I tried this recipe mam....the taste is awesome.....
1665,I am trying this recipe now wait for a an hour i will comment the taste my age is 18
1666,Yeah this is great
1667,Try this it give me awesome result thanks mam
1668,"<a href=""https://youtu.be/fTIO0K3zEqY"">https://youtu.be/fTIO0K3zEqY</a>"
